Model,Quality Score,Shape Score,Appearance Score,Semantic Score,MSE (Full),Mean Pixel Diff (Full),Color Similarity (Full),SSIM (Full),PSNR (Full),ROI BBox X1,ROI BBox Y1,ROI BBox X2,ROI BBox Y2,MSE (ROI),Mean Pixel Diff (ROI),Color Similarity (ROI),SSIM (ROI),PSNR (ROI),Silhouette IoU,LPIPS (Full),Semantic Similarity,Vertices,Faces,Watertight,Has Texture,Size X,Size Y,Size Z,Surface Area,Self Intersecting,Mesh Flags
2 (448),19.49,18.66,12.35,85.45,14812.30,104.70,-0.228968,0.035545,6.42,150,46,361,465,9229.01,79.16,-0.098998,0.105323,8.48,0.186576,0.988765,0.708903,138723,268714,No,Yes,0.390092,1.000000,0.368311,1.180018,N/A,not_watertight
2 (484),21.59,24.15,16.69,76.28,14127.72,101.50,-0.158831,0.104713,6.63,54,166,449,377,8995.29,77.02,-0.158918,0.330699,8.59,0.241484,0.891878,0.525634,157352,304674,No,Yes,0.433140,0.458485,1.000000,1.148312,N/A,not_watertight
1 (1),25.01,34.10,11.57,83.71,15335.68,100.35,-0.227513,0.082303,6.27,46,70,433,473,12908.64,91.08,-0.234371,0.137724,7.02,0.340998,0.869832,0.674161,320447,502889,No,Yes,0.716174,0.998550,0.978009,5.320178,N/A,not_watertight
2 (459),21.49,26.34,11.65,81.47,17224.50,115.32,-0.232045,0.019316,5.77,174,46,345,465,9468.61,80.28,-0.091527,0.069995,8.37,0.263450,0.997634,0.629463,116004,219960,No,Yes,0.348768,1.000000,0.365274,0.880650,N/A,not_watertight
1 (10),19.28,22.03,13.06,76.23,9106.07,79.87,0.092993,0.045834,8.54,46,94,465,401,7771.72,76.63,0.017420,0.079210,9.23,0.220339,0.859575,0.524551,272600,501424,No,Yes,0.451288,0.691221,1.000000,2.443113,N/A,not_watertight
6374153323_7d0417d11b_o,19.09,18.52,11.61,85.18,9051.28,86.94,-0.095233,0.007386,8.56,70,206,473,345,7801.56,77.87,-0.012886,0.028894,9.21,0.185221,0.974909,0.703684,57719,105738,No,Yes,0.490292,0.178990,1.000000,0.430102,N/A,not_watertight
8289565796_4b31087117_o,18.92,21.26,10.96,80.14,24314.38,146.02,-0.160011,0.010233,4.27,158,46,345,473,16885.10,112.65,-0.080982,0.033836,5.86,0.212648,1.160188,0.602708,90725,172304,No,Yes,0.314846,1.000000,0.388040,0.665834,N/A,not_watertight
6348715937_d4e3789b91_o,23.89,24.20,15.24,90.59,3436.99,38.44,0.133274,0.016685,12.77,67,222,414,297,5218.00,49.58,0.152495,0.061606,10.96,0.241990,0.873495,0.811751,34297,59710,No,Yes,0.186361,0.038065,0.999999,0.259821,N/A,not_watertight
6430535711_64bbf6202f_o,18.38,12.28,12.18,93.00,53112.50,217.41,-0.042327,0.035261,0.88,62,118,465,425,42912.59,184.12,-0.052893,0.074383,1.80,0.122762,0.768081,0.860028,129033,249302,No,Yes,0.664868,0.641716,1.000000,0.886938,N/A,not_watertight
372812294_097a28a288_o,22.64,28.94,11.28,82.75,20254.40,133.39,-0.119212,0.014107,5.07,54,198,457,313,12457.82,96.32,-0.121514,0.068556,7.18,0.289424,0.938891,0.655048,46132,86406,No,Yes,0.240399,0.155273,0.999993,0.355643,N/A,not_watertight
5516920825_b5049feefb_o,16.85,14.64,10.35,84.27,24929.58,151.07,-0.100493,0.008906,4.16,46,134,465,377,25121.47,149.48,-0.109718,0.020562,4.13,0.146440,0.939966,0.685403,60349,112206,No,Yes,0.187669,0.564309,0.999993,0.452156,N/A,not_watertight
12134977656_3e56035695_o,16.38,10.11,10.87,89.93,31578.28,159.58,-0.125592,0.024391,3.14,62,110,449,425,25975.08,136.22,-0.122397,0.050310,3.99,0.101142,0.753062,0.798555,123354,235022,No,Yes,0.339986,0.588253,1.000000,0.851611,N/A,not_watertight
8369402627_6a670d0570_o,18.55,22.82,9.39,78.34,12498.57,94.86,-0.090995,0.011469,7.16,70,182,417,369,18165.63,121.53,-0.235568,0.040392,5.54,0.228242,0.945668,0.566757,91868,174276,No,Yes,0.999991,0.144088,0.854173,0.747152,N/A,not_watertight
377916126_5ed693017f_o,22.38,24.90,10.59,90.92,42135.81,188.29,-0.108431,0.028802,1.88,46,118,465,401,28775.09,140.80,-0.174146,0.063683,3.54,0.249017,0.761482,0.818399,99515,189974,No,Yes,0.215793,0.682906,1.000000,0.815429,N/A,not_watertight
3237385926_71b8d52c79_o,23.85,23.38,19.31,83.86,47076.18,211.02,-0.054672,0.005406,1.40,190,166,321,345,22559.91,121.45,0.648895,0.044467,4.60,0.233833,0.840463,0.677168,31714,58690,No,Yes,1.000000,0.122808,0.145504,0.223489,N/A,not_watertight
2755336697_34bb70b419_o,26.01,34.92,11.55,87.11,20084.71,121.93,-0.163829,0.050331,5.10,46,70,465,465,19481.04,117.70,-0.115672,0.077762,5.23,0.349169,0.880657,0.742179,177296,338784,No,Yes,0.691619,0.824903,1.000012,1.194312,N/A,not_watertight
6342745960_f1c9ac8454_o,18.27,12.99,11.43,92.49,42295.54,188.84,-0.082537,0.028061,1.87,46,102,457,409,31006.23,152.63,-0.087530,0.058057,3.22,0.129854,0.869127,0.849785,83999,158354,No,Yes,0.147490,0.734448,0.999997,0.663473,N/A,not_watertight
5265575186_3f748cb990_o,20.67,18.46,16.52,83.40,7007.79,66.84,0.058095,0.021811,9.67,150,166,353,377,4881.31,54.06,0.219375,0.071556,11.25,0.184562,0.988783,0.667918,59232,111776,No,Yes,1.000000,0.177489,0.364577,0.435878,N/A,not_watertight
8692152662_fcffbde0ec_o,24.04,30.77,12.98,82.71,18253.47,121.66,-0.081105,0.020314,5.52,46,110,441,401,12902.79,92.21,0.075062,0.046564,7.02,0.307661,0.894112,0.654148,165550,302380,No,Yes,0.149330,0.678097,1.000015,1.283061,N/A,not_watertight
1841488509_9a2e18f4d0_o,16.25,14.03,10.27,82.64,28922.74,157.54,-0.223106,0.006184,3.52,182,174,337,361,18859.61,121.81,-0.157223,0.040695,5.38,0.140310,0.827801,0.652776,39310,73918,No,Yes,0.999991,0.142985,0.144112,0.301347,N/A,not_watertight
14694970499_b8568c5554_o,17.30,17.00,11.66,79.20,22276.32,130.34,-0.237681,0.046712,4.65,166,62,417,512,20457.17,120.12,-0.167010,0.108352,5.02,0.170022,0.927227,0.584058,166957,321604,No,Yes,0.999999,0.831732,0.526267,1.170163,N/A,not_watertight
6432093093_d5ec72aa6a_o,21.85,26.57,10.92,84.29,19978.99,121.36,-0.262964,0.079754,5.13,46,46,512,457,18742.27,113.61,-0.235554,0.109072,5.40,0.265716,0.819311,0.685705,262574,501302,No,Yes,0.877272,0.999994,0.958382,2.121222,N/A,not_watertight
478736017_574735d556_o,34.74,49.29,20.46,84.21,14151.14,99.56,-0.037941,0.178631,6.62,78,38,417,497,8107.86,67.91,0.235937,0.302592,9.04,0.492923,0.825658,0.684202,263481,501144,No,Yes,1.000026,0.943852,0.715414,3.325981,N/A,not_watertight
2813471684_d29f128432_o,27.47,39.99,14.42,78.51,7573.91,68.39,-0.065106,0.116577,9.34,70,102,473,465,7464.74,69.57,-0.099235,0.198449,9.40,0.399861,0.801019,0.570206,258030,501078,No,Yes,0.999994,0.723426,0.828655,2.579009,N/A,not_watertight
96274264_f0b3b6ec29_o,32.39,48.27,15.24,84.91,4413.73,55.92,-0.011475,0.090347,11.68,126,38,393,512,4481.50,56.79,-0.116990,0.163411,11.62,0.482708,0.748097,0.698181,176552,337900,No,Yes,0.997076,1.000009,0.488448,1.234930,N/A,not_watertight
17008632047_b8ce20175c_o,31.30,42.59,16.17,88.99,5240.58,54.44,-0.044237,0.172368,10.94,62,62,457,489,4865.33,54.35,-0.183906,0.256619,11.26,0.425936,0.719603,0.779814,257933,501642,No,Yes,0.676142,0.902034,0.999981,2.577524,N/A,not_watertight
5342605094_98de160b86_o,22.64,24.86,16.13,81.20,9418.85,86.16,-0.144624,0.123582,8.39,38,94,465,401,6709.31,69.91,-0.044032,0.247904,9.86,0.248633,0.858996,0.623973,260254,501674,No,Yes,0.970733,0.864439,0.999981,3.427183,N/A,not_watertight
16943857_706887a2dc_o,24.01,31.62,16.11,74.60,8746.31,80.03,-0.005881,0.120761,8.71,54,78,465,449,8236.65,75.71,0.052867,0.198726,8.97,0.316184,0.832416,0.491988,260112,501540,No,Yes,0.384341,0.828364,1.000013,2.124799,N/A,not_watertight
3775309316_6b34599913_o,30.34,44.35,12.93,87.13,10167.60,88.50,-0.152181,0.066108,8.06,102,46,385,512,10103.74,86.29,-0.093316,0.128662,8.09,0.443493,0.878101,0.742691,260418,500812,No,Yes,0.864250,0.999991,0.634366,2.073531,N/A,not_watertight
2881810767_9e61f39c1d_o,23.69,30.14,11.80,84.56,11946.34,83.59,-0.141836,0.077136,7.36,46,62,497,497,9804.23,77.05,-0.140055,0.100967,8.22,0.301443,0.808867,0.691156,262392,501358,No,Yes,0.867402,0.986797,1.000018,2.783888,N/A,not_watertight
12503956853_9ffce73d29_o,21.29,24.70,17.58,71.90,3523.80,44.91,0.293892,0.052069,12.66,62,134,441,417,4148.06,47.55,0.262213,0.062454,11.95,0.246997,0.737770,0.437923,220611,418530,No,Yes,0.628292,0.556441,1.000000,1.557073,N/A,not_watertight
4263935274_daffe02247_o,27.69,40.62,14.17,78.88,27052.62,142.06,-0.087289,0.084143,3.81,126,46,401,512,14448.54,95.53,-0.069175,0.172257,6.53,0.406170,0.853071,0.577633,262972,501110,No,Yes,0.750569,1.000000,0.536297,2.315039,N/A,not_watertight
2436995155_033615b41f_o,26.77,35.17,15.65,82.23,17889.85,112.06,-0.194972,0.165901,5.60,62,46,393,465,11691.43,91.45,-0.217689,0.313171,7.45,0.351711,0.859404,0.644579,276662,501704,No,Yes,0.889053,0.999979,0.813291,3.388535,N/A,not_watertight
5098748633_ef76881897_o,24.93,32.18,15.33,79.65,14481.11,108.32,-0.149013,0.104465,6.52,46,142,481,393,9910.74,86.94,-0.122323,0.250827,8.17,0.321762,0.898387,0.593033,188045,361668,No,Yes,0.539217,0.411748,0.999987,1.366316,N/A,not_watertight
3329443197_50fbfd35eb_o,31.42,46.58,18.07,77.79,6911.19,70.73,0.286817,0.168326,9.74,126,38,401,489,7233.86,74.98,0.183047,0.221425,9.54,0.465771,0.872323,0.555840,245042,473966,No,Yes,0.629941,0.999997,0.653307,1.795645,N/A,not_watertight
2460608097_9647d5e2d5_o,20.04,22.60,14.38,76.22,19610.41,120.02,-0.060542,0.033039,5.21,62,182,457,345,6085.63,67.00,0.042455,0.111563,10.29,0.225994,0.894078,0.524385,129711,244496,No,Yes,0.394016,0.290568,0.999988,1.006193,N/A,not_watertight
8126289047_c3a3e90202_o,24.46,31.13,12.46,85.13,12852.85,93.26,-0.099720,0.028279,7.04,54,150,457,401,8974.77,75.94,-0.000629,0.061119,8.60,0.311271,0.813023,0.702647,288128,502134,No,Yes,0.659701,0.503981,1.000000,3.689004,N/A,not_watertight
9033225599_4343dde24b_o,20.67,19.90,13.86,85.85,13138.79,96.53,-0.142521,0.021579,6.95,70,134,433,385,7421.18,66.86,0.137085,0.055114,9.43,0.199040,0.853765,0.716912,294570,502522,No,Yes,0.999980,0.568529,0.997210,4.084417,N/A,not_watertight
296064267_cfd3ed3b62_o,19.83,21.63,14.19,77.50,18368.23,115.03,-0.187427,0.164745,5.49,38,62,489,441,10845.41,85.01,-0.230526,0.253817,7.78,0.216312,0.823774,0.550030,259828,501984,No,Yes,0.946922,0.864061,0.999963,3.696848,N/A,not_watertight
15108268883_4e203a80e0_o,22.53,30.60,11.50,78.44,6179.33,57.99,0.251383,0.027422,10.22,54,142,465,377,8553.46,71.67,-0.028708,0.031668,8.81,0.306019,0.796053,0.568801,301098,501808,No,Yes,0.630254,0.404306,1.000015,2.528398,N/A,not_watertight
4573302817_d8b8fefae6_o,17.25,18.13,11.14,77.73,14495.99,100.53,-0.225214,0.021360,6.52,62,118,473,393,8409.81,72.47,-0.091252,0.046976,8.88,0.181272,0.869073,0.554596,281876,501486,No,Yes,0.698226,0.554369,0.999989,1.893865,N/A,not_watertight
2689230108_a2dd17e1a5_o,26.40,30.21,20.45,80.70,10373.66,79.07,0.651831,0.061939,7.97,54,158,449,337,5882.78,57.03,0.648930,0.073840,10.43,0.302085,0.833796,0.613934,285855,502058,No,Yes,0.999969,0.424166,0.552000,2.839865,N/A,not_watertight
303541113_5f94409315_o,25.37,27.44,20.48,81.01,2085.27,33.41,-0.007402,0.071305,14.94,54,145,449,409,2726.32,37.57,0.167717,0.148926,13.78,0.274392,0.656157,0.620101,297074,503102,No,Yes,0.999990,0.577413,0.921687,5.320312,N/A,not_watertight
4072657213_31b23fee4f_o,22.66,28.27,14.60,77.55,13237.42,91.92,0.135841,0.025109,6.91,110,110,417,441,9558.56,75.45,0.209520,0.052075,8.33,0.282727,0.836779,0.551024,281439,502468,No,Yes,0.999981,0.599877,0.689277,3.893576,N/A,not_watertight
6251886823_8074e7047b_o,25.56,35.50,11.46,83.86,12770.26,87.23,-0.040176,0.033457,7.07,54,102,441,425,12425.46,82.67,-0.073416,0.052595,7.19,0.355030,0.734628,0.677295,292961,502742,No,Yes,1.000129,0.869191,0.883830,4.983857,N/A,not_watertight
3536731831_99a9ec16ed_o,18.86,24.11,7.88,80.30,13957.86,104.99,-0.270986,0.017200,6.68,70,150,441,409,13214.38,96.08,-0.381600,0.045540,6.92,0.241146,0.886150,0.606079,298125,501862,No,Yes,0.999986,0.342923,0.916424,3.302616,N/A,not_watertight
163823652_b5a4ae230c_o,20.07,25.77,10.83,77.15,15522.50,106.79,-0.298902,0.015915,6.22,102,142,457,401,10915.63,83.64,-0.111433,0.042921,7.75,0.257688,0.924012,0.543093,299918,502042,No,Yes,0.999919,0.409994,0.473409,3.100558,N/A,not_watertight
15729204092_1e76171ccf_o,34.08,47.55,18.74,87.80,9012.52,69.98,0.953464,0.102745,8.58,54,70,481,425,12322.91,93.56,0.602366,0.042162,7.22,0.475455,0.677899,0.756035,313966,503050,No,Yes,0.976796,0.827545,1.000017,5.820201,N/A,not_watertight
2886509057_685afebd62_o,23.66,30.35,13.30,81.00,12123.32,87.81,-0.141094,0.052308,7.29,62,142,433,401,8958.96,72.43,-0.069247,0.133181,8.61,0.303455,0.812962,0.620018,276989,501686,No,Yes,0.537945,0.415483,0.999995,2.424511,N/A,not_watertight
5229856292_54e9ed721a_o,16.82,12.21,15.36,78.95,6792.70,63.19,-0.053348,0.046191,9.81,46,150,481,393,4411.29,50.59,0.019913,0.097201,11.69,0.122136,0.765537,0.579003,295478,501930,No,Yes,0.417970,0.407188,0.999967,2.705950,N/A,not_watertight
blood_12,25.23,32.04,13.98,84.13,8153.17,68.40,-0.018673,0.116059,9.02,70,46,401,512,9231.37,79.09,-0.095037,0.176524,8.48,0.320353,0.738667,0.682658,268645,501244,No,Yes,0.770210,1.000000,0.855929,2.235391,N/A,not_watertight
blood_124,22.56,28.85,11.75,81.58,12856.39,89.41,-0.401015,0.173863,7.04,38,46,481,512,9621.82,74.98,-0.383780,0.220813,8.30,0.288476,0.716658,0.631567,261854,501980,No,Yes,0.790714,0.999968,0.998043,4.417118,N/A,not_watertight
blood_311,35.56,54.45,15.83,87.23,5619.98,48.31,0.269609,0.109287,10.63,46,70,505,481,6212.95,53.62,0.168041,0.118251,10.20,0.544537,0.551597,0.744517,218280,415808,No,Yes,0.616083,0.744384,0.999992,1.567870,N/A,not_watertight
blood_3,28.49,39.84,12.43,87.89,6759.13,60.30,-0.111360,0.096579,9.83,62,46,465,497,8185.82,69.28,-0.144740,0.131811,9.00,0.398384,0.701146,0.757889,260279,501308,No,Yes,0.709304,0.999997,0.939605,2.623930,N/A,not_watertight
blood_101,22.34,30.73,12.96,74.33,17523.39,109.32,-0.170539,0.105966,5.69,70,54,465,512,12328.10,86.83,-0.140864,0.153542,7.22,0.307274,0.833826,0.486503,261796,501164,No,Yes,0.983655,1.000013,0.814408,2.613463,N/A,not_watertight
blood_305,17.34,15.35,13.23,79.54,13646.67,100.22,-0.147060,0.066846,6.78,94,54,473,441,9845.30,80.77,-0.046488,0.118779,8.20,0.153521,0.793971,0.590853,273996,501456,No,Yes,0.919922,0.999966,0.817094,2.675701,N/A,not_watertight
blood_361,24.59,32.82,11.78,83.74,6507.15,58.35,-0.087098,0.048387,10.00,54,134,489,409,6591.47,62.06,-0.112993,0.086659,9.94,0.328180,0.645210,0.674711,259647,493260,No,Yes,0.591301,0.582146,1.000002,1.870532,N/A,not_watertight
blood_121,26.28,35.65,12.43,85.24,8188.99,67.22,-0.039183,0.080262,9.00,46,78,465,497,9791.87,76.06,-0.099043,0.108905,8.22,0.356509,0.724996,0.704845,270026,501206,No,Yes,0.738468,0.868420,0.999984,2.182755,N/A,not_watertight
blood_111,36.68,47.73,27.11,83.74,6528.90,49.00,0.989542,0.324082,9.98,54,110,425,401,6831.85,56.51,0.965680,0.237130,9.79,0.477318,0.658903,0.674721,258997,501040,No,Yes,0.908814,0.761303,1.000000,2.112106,N/A,not_watertight
blood_16,19.72,21.94,13.11,78.49,22747.31,131.09,-0.158570,0.081589,4.56,54,102,465,457,16484.32,104.78,-0.113829,0.147033,5.96,0.219393,0.882216,0.569839,258993,501400,No,Yes,0.971921,0.726039,0.999987,3.044641,N/A,not_watertight
blood_20,23.53,28.63,15.77,78.85,7205.77,68.06,0.033196,0.108158,9.55,46,46,465,465,6428.18,65.25,0.103646,0.155477,10.05,0.286326,0.779622,0.577017,344845,501360,No,Yes,0.949717,1.000060,0.908906,3.262771,N/A,not_watertight
blood_226,28.11,32.36,21.65,82.55,3860.94,40.84,0.598424,0.173642,12.26,62,46,433,473,3433.78,41.72,0.314907,0.178321,12.77,0.323571,0.693078,0.650953,261342,501296,No,Yes,0.713914,0.999981,0.908277,2.646760,N/A,not_watertight
blood_227,35.41,60.24,13.44,79.67,9774.62,81.29,0.108846,0.067568,8.23,126,46,377,465,9274.77,77.08,-0.058728,0.134134,8.46,0.602424,0.852929,0.593395,174982,334688,No,Yes,0.309212,1.000000,0.580745,1.256890,N/A,not_watertight
blood_32,23.68,28.58,11.63,87.96,5561.96,58.95,-0.072579,0.041442,10.68,46,110,417,393,6724.59,65.77,-0.104191,0.075571,9.85,0.285787,0.695694,0.759153,270879,501024,No,Yes,0.687708,0.646094,0.999998,2.031764,N/A,not_watertight
blood_104,36.95,56.18,20.85,80.69,5600.40,51.84,0.813592,0.172441,10.65,46,38,377,489,8127.91,71.10,0.528561,0.174026,9.03,0.561798,0.611678,0.613739,276880,501436,No,Yes,0.985122,0.999981,0.940903,3.843920,N/A,not_watertight
6335230273_b701b971d3_z,24.28,33.74,10.46,83.01,14761.37,106.89,-0.222460,0.038459,6.44,38,118,465,425,14259.65,99.84,-0.210225,0.076007,6.59,0.337396,0.863682,0.660142,226772,422258,No,Yes,0.384791,0.592952,0.999985,1.939386,N/A,not_watertight
2399684612_0c848312d7_z,24.49,33.40,11.49,82.68,14685.95,102.02,-0.134944,0.012904,6.46,46,134,465,385,12607.93,89.24,-0.028500,0.031114,7.12,0.334017,0.912112,0.653635,203431,372336,No,Yes,0.399533,0.456280,1.000000,1.632664,N/A,not_watertight
14786173021_d1a80785d7_z,24.94,33.23,13.48,81.27,11803.57,90.40,-0.152199,0.059000,7.41,110,46,393,449,9788.94,80.65,-0.056009,0.134533,8.22,0.332283,0.896175,0.625437,19610,34342,No,Yes,0.772585,1.000000,0.646216,2.058583,N/A,not_watertight
7471289382_5c7b7561cf_z,24.89,29.90,15.55,83.57,14558.39,95.65,0.205090,0.061776,6.50,46,86,481,465,10183.70,80.93,0.212139,0.093539,8.05,0.298968,0.799062,0.671488,277296,501392,No,Yes,0.692575,0.781679,1.000005,2.903081,N/A,not_watertight
480930072_5ea673d155_z,22.63,31.08,10.10,80.78,9175.92,82.44,-0.184286,0.029565,8.50,70,46,433,481,9562.31,83.64,-0.185479,0.047119,8.33,0.310841,0.832903,0.615611,269694,500982,No,Yes,0.767356,0.999996,0.761308,2.285912,N/A,not_watertight
4671966257_b423957d1a_z,19.92,25.62,9.80,78.74,9921.44,80.10,-0.160974,0.006156,8.17,54,141,473,385,9341.84,77.76,-0.142761,0.012261,8.43,0.256242,0.979089,0.574748,93525,172152,No,Yes,1.000012,0.549597,0.328485,0.685408,N/A,not_watertight
4867212771_b084d96965_z,20.22,20.38,13.09,84.17,26679.10,147.66,-0.181060,0.082380,3.87,54,126,473,393,16176.61,105.10,-0.209726,0.193911,6.04,0.203819,0.903184,0.683420,284922,501654,No,Yes,0.929204,0.636672,0.999966,2.982167,N/A,not_watertight
7933918534_b2af473b5c_z,23.01,31.88,10.18,80.94,15795.28,111.03,-0.265458,0.012961,6.15,54,118,457,401,9420.78,82.38,-0.142730,0.029529,8.39,0.318820,0.920975,0.618710,244269,452406,No,Yes,0.417738,0.628130,0.999979,1.800535,N/A,not_watertight
15899239397_58d15ff2ac_z,25.42,33.10,15.95,79.00,17596.38,110.65,0.274620,0.051482,5.68,38,134,473,417,14118.38,95.00,0.275990,0.079601,6.63,0.331023,0.893344,0.580003,189067,343502,No,Yes,1.000002,0.456641,0.476141,1.333917,N/A,not_watertight
7622931096_0cfddb02da_z,19.91,23.47,10.40,81.82,7852.06,72.95,-0.162097,0.036515,9.18,38,102,465,425,9278.05,75.37,-0.198911,0.067441,8.46,0.234743,0.900622,0.636392,275244,501458,No,Yes,0.344935,0.708510,1.000009,2.220114,N/A,not_watertight
3438157727_8c468cb7fd_z,25.85,35.74,11.35,85.08,15807.00,108.64,-0.240744,0.067108,6.14,94,70,457,505,14258.97,99.03,-0.200986,0.111170,6.59,0.357411,0.853204,0.701569,262571,501438,No,Yes,0.999995,0.901320,0.556043,2.962866,N/A,not_watertight
8414290992_86b6cef11e_z,11.79,8.65,9.41,72.85,30594.28,165.26,-0.162149,0.002648,3.27,38,94,512,473,30792.75,165.72,-0.160361,0.003759,3.25,0.086463,0.985191,0.457052,49748,84602,No,Yes,0.610703,0.729413,1.000000,0.396161,N/A,not_watertight
8048270935_a537c66d23_z,20.54,25.54,10.05,81.53,8781.98,81.68,-0.173661,0.018563,8.69,46,110,481,457,8691.21,80.21,-0.156667,0.030632,8.74,0.255369,0.826086,0.630700,275557,501122,No,Yes,0.999972,0.698587,0.451191,1.989047,N/A,not_watertight
8104667457_48a6a1f40a_z,22.28,20.44,18.87,82.78,25670.60,132.28,0.573622,0.061745,4.04,54,102,457,409,17889.55,106.63,0.595715,0.051358,5.60,0.204427,0.959704,0.655647,232811,445040,No,Yes,0.999991,0.722172,0.937500,1.690823,N/A,not_watertight
7980555696_3c7aab76d8_z,18.03,19.42,11.87,77.57,23033.76,131.72,-0.198672,0.046687,4.51,54,126,489,457,13082.48,94.58,-0.101522,0.084966,6.96,0.194152,0.878355,0.551455,288090,502528,No,Yes,0.999929,0.647472,0.926783,4.694476,N/A,not_watertight
1d9be0bb-b696-4e97-9d58-2bc06dd435ff-m,23.66,36.57,9.83,75.49,13450.98,95.80,-0.199666,0.038566,6.84,62,62,457,512,11099.95,85.52,-0.228131,0.056266,7.68,0.365735,0.819867,0.509812,290596,501726,No,Yes,0.999968,0.876272,0.837108,3.198056,N/A,not_watertight
Honto_bunkai-Street_fighting,19.86,21.46,16.69,73.02,12233.69,91.45,0.255497,0.044489,7.26,54,62,489,449,8014.80,73.25,0.369190,0.066630,9.09,0.214606,0.881246,0.460389,293273,501624,No,Yes,0.919630,0.887850,1.000013,2.537934,N/A,not_watertight
football-factory-the-blu-ray_khe-2ffootballfactorytheblu-ray-2ffootballfactory-001-1-jpg,27.84,31.88,21.75,81.96,9290.56,72.24,0.870601,0.079912,8.45,54,102,425,409,12249.76,87.64,0.862875,0.047239,7.25,0.318808,0.823958,0.639106,259687,471206,No,Yes,0.753720,0.658848,1.000000,1.672924,N/A,not_watertight
two-angry-women-in-road-rage-fight,17.71,19.39,10.46,78.85,15361.31,107.97,-0.153983,0.014886,6.27,46,62,457,433,11792.31,91.89,-0.107230,0.024158,7.41,0.193877,0.903184,0.576950,289295,502002,No,Yes,0.373873,0.932133,1.000003,2.722657,N/A,not_watertight
street-fight,27.37,30.34,20.34,85.47,15719.08,100.85,0.668170,0.054177,6.17,38,78,449,449,12631.78,88.57,0.685539,0.072382,7.12,0.303423,0.794067,0.709478,303654,503005,No,Yes,0.566712,0.856014,1.000088,4.805922,N/A,not_watertight
539361489_4b1400107e_o,22.58,31.08,9.85,81.05,17716.79,115.23,-0.263685,0.016611,5.65,46,142,457,377,14030.09,102.34,-0.190314,0.038438,6.66,0.310848,0.882709,0.620913,149336,283454,No,Yes,0.326854,0.553725,1.000002,1.031082,N/A,not_watertight
