Result Name,Assigned Domain,Reason,Matched Token,Candidate Domains (if tie)
8104667457_48a6a1f40a_z,outdoor_home,filename_match,8104667457_48a6a1f40a_z.glb,outdoor_home
7980555696_3c7aab76d8_z,outdoor_home,filename_match,7980555696_3c7aab76d8_z.glb,outdoor_home
1d9be0bb-b696-4e97-9d58-2bc06dd435ff-m,fighting,filename_match,1d9be0bb-b696-4e97-9d58-2bc06dd435ff-m.glb,fighting
Honto_bunkai-Street_fighting,fighting,filename_match,honto_bunkai-street_fighting.glb,fighting
football-factory-the-blu-ray_khe-2ffootballfactorytheblu-ray-2ffootballfactory-001-1-jpg,fighting,filename_match,football-factory-the-blu-ray_khe-2ffootballfactorytheblu-ray-2ffootballfactory-001-1-jpg.glb,fighting
two-angry-women-in-road-rage-fight,fighting,filename_match,two-angry-women-in-road-rage-fight.glb,fighting
street-fight,fighting,filename_match,street-fight.glb,fighting
539361489_4b1400107e_o,fighting,filename_match,539361489_4b1400107e_o.glb,fighting
309509,fighting,filename_match,309509.glb,fighting
hqdefault,fighting,filename_match,hqdefault.glb,fighting
road-rage-4,fighting,filename_match,road-rage-4.glb,fighting
getImage,fighting,filename_match,getimage.glb,fighting
parent,fighting,filename_match,parent.glb,fighting
maxresdefault,fighting,filename_match,maxresdefault.glb,fighting
2017062293400,fighting,filename_match,2017062293400.glb,fighting
blow1,fighting,filename_match,blow1.glb,fighting
boxe_de_rue_-_eric_quequet_-_coup_de_genou_self_defense,fighting,filename_match,boxe_de_rue_-_eric_quequet_-_coup_de_genou_self_defense.glb,fighting
Datacluster Cracked Screen (208),shattered_phone,filename_match,datacluster cracked screen (208).glb,shattered_phone
Datacluster Cracked Screen (103),shattered_phone,filename_match,datacluster cracked screen (103).glb,shattered_phone
Datacluster Cracked Screen (205),shattered_phone,filename_match,datacluster cracked screen (205).glb,shattered_phone
Datacluster Cracked Screen (144),shattered_phone,filename_match,datacluster cracked screen (144).glb,shattered_phone
Datacluster Cracked Screen (206),shattered_phone,filename_match,datacluster cracked screen (206).glb,shattered_phone
Datacluster Cracked Screen (260),shattered_phone,filename_match,datacluster cracked screen (260).glb,shattered_phone
Datacluster Cracked Screen (231),shattered_phone,filename_match,datacluster cracked screen (231).glb,shattered_phone
Datacluster Cracked Screen (131),shattered_phone,filename_match,datacluster cracked screen (131).glb,shattered_phone
Datacluster Cracked Screen (178),shattered_phone,filename_match,datacluster cracked screen (178).glb,shattered_phone
Datacluster Cracked Screen (105),shattered_phone,filename_match,datacluster cracked screen (105).glb,shattered_phone
Datacluster Cracked Screen (221),shattered_phone,filename_match,datacluster cracked screen (221).glb,shattered_phone
Datacluster Cracked Screen (1),shattered_phone,filename_match,datacluster cracked screen (1).glb,shattered_phone
Datacluster Cracked Screen (127),shattered_phone,filename_match,datacluster cracked screen (127).glb,shattered_phone
Datacluster Cracked Screen (240),shattered_phone,filename_match,datacluster cracked screen (240).glb,shattered_phone
Datacluster Cracked Screen (136),shattered_phone,filename_match,datacluster cracked screen (136).glb,shattered_phone
6395024177_81fa2847c3_o,gun,filename_match,6395024177_81fa2847c3_o.glb,gun
2249564736_d42d4caede_o,gun,filename_match,2249564736_d42d4caede_o.glb,gun
3054017065_8d9ab6df01_o,gun,filename_match,3054017065_8d9ab6df01_o.glb,gun
5382870740_471ca1b808_o,gun,filename_match,5382870740_471ca1b808_o.glb,gun
12992937843_396732f798_o,gun,filename_match,12992937843_396732f798_o.glb,gun
15149278572_534337cae9_o,gun,filename_match,15149278572_534337cae9_o.glb,gun
8265656003_0bb911d34d_o,gun,filename_match,8265656003_0bb911d34d_o.glb,gun
439615817_6a362b6b3c_o,gun,filename_match,439615817_6a362b6b3c_o.glb,gun
4989837054_1d84c31d62_o,gun,filename_match,4989837054_1d84c31d62_o.glb,gun
15074048198_c5ff8af6fa_o,gun,filename_match,15074048198_c5ff8af6fa_o.glb,gun
100190416_11ead6547f_o,gun,filename_match,100190416_11ead6547f_o.glb,gun
8557270023_66a3c63006_o,gun,filename_match,8557270023_66a3c63006_o.glb,gun
6963681645_d040d056a2_o,gun,filename_match,6963681645_d040d056a2_o.glb,gun
3729585029_5af861e06a_o,gun,filename_match,3729585029_5af861e06a_o.glb,gun
149291028_4548453a07_o,gun,filename_match,149291028_4548453a07_o.glb,gun
living_1026,livingroom,filename_match,living_1026.glb,livingroom
living_1044,livingroom,filename_match,living_1044.glb,livingroom
living_1249,livingroom,filename_match,living_1249.glb,livingroom
living_1004,livingroom,filename_match,living_1004.glb,livingroom
living_1179,livingroom,filename_match,living_1179.glb,livingroom
living_1147,livingroom,filename_match,living_1147.glb,livingroom
living_10,livingroom,filename_match,living_10.glb,livingroom
living_1211,livingroom,filename_match,living_1211.glb,livingroom
living_1024,livingroom,filename_match,living_1024.glb,livingroom
living_1000,livingroom,filename_match,living_1000.glb,livingroom
living_1261,livingroom,filename_match,living_1261.glb,livingroom
living_1090,livingroom,filename_match,living_1090.glb,livingroom
living_1145,livingroom,filename_match,living_1145.glb,livingroom
living_1174,livingroom,filename_match,living_1174.glb,livingroom
living_1117,livingroom,filename_match,living_1117.glb,livingroom
kitchen_1031,kitchen,filename_match,kitchen_1031.glb,kitchen
kitchen_1099,kitchen,filename_match,kitchen_1099.glb,kitchen
kitchen_1030,kitchen,filename_match,kitchen_1030.glb,kitchen
kitchen_1189,kitchen,filename_match,kitchen_1189.glb,kitchen
kitchen_1134,kitchen,filename_match,kitchen_1134.glb,kitchen
kitchen_1102,kitchen,filename_match,kitchen_1102.glb,kitchen
kitchen_1193,kitchen,filename_match,kitchen_1193.glb,kitchen
kitchen_1200,kitchen,filename_match,kitchen_1200.glb,kitchen
kitchen_1035,kitchen,filename_match,kitchen_1035.glb,kitchen
kitchen_1003,kitchen,filename_match,kitchen_1003.glb,kitchen
kitchen_1148,kitchen,filename_match,kitchen_1148.glb,kitchen
kitchen_1162,kitchen,filename_match,kitchen_1162.glb,kitchen
kitchen_1029,kitchen,filename_match,kitchen_1029.glb,kitchen
kitchen_1028,kitchen,filename_match,kitchen_1028.glb,kitchen
19324089973_542ac72d6f_o,knife,filename_match,19324089973_542ac72d6f_o.glb,knife
15831449986_e6938bf528_o,knife,filename_match,15831449986_e6938bf528_o.glb,knife
15843042109_810b925957_o,knife,filename_match,15843042109_810b925957_o.glb,knife
16155324722_9d11d48ffc_o,knife,filename_match,16155324722_9d11d48ffc_o.glb,knife
19906119675_2186143a4d_o,knife,filename_match,19906119675_2186143a4d_o.glb,knife
15831421306_abc0b5c6bf_o,knife,filename_match,15831421306_abc0b5c6bf_o.glb,knife
19667654424_662b25a4d3_o,knife,filename_match,19667654424_662b25a4d3_o.glb,knife
5075275649_c015fcbae9_o,knife,filename_match,5075275649_c015fcbae9_o.glb,knife
19832075215_0c2b3f81c1_o,knife,filename_match,19832075215_0c2b3f81c1_o.glb,knife
19554937106_af445a7df5_o,knife,filename_match,19554937106_af445a7df5_o.glb,knife
16574980597_9b4e877623_o,knife,filename_match,16574980597_9b4e877623_o.glb,knife
4121917051_0ec8c10f32_o,knife,filename_match,4121917051_0ec8c10f32_o.glb,knife
8210802253_1deca73f17_o,knife,filename_match,8210802253_1deca73f17_o.glb,knife
19688793649_b4e50f1b97_o,knife,filename_match,19688793649_b4e50f1b97_o.glb,knife
15933264296_158a3fd419_o,knife,filename_match,15933264296_158a3fd419_o.glb,knife
